商品编码,商品名称,SKUID,SKU属性,京东价,京东分类,品牌,链接,商品货号,商家SKU,库存,商品状态
10206358347,东兴馆 东南亚年货大礼包 果干零食大礼包 六六大顺套餐 进口零食大礼包,11226975572, ,169,食品饮料 > 进口食品 > 休闲零食,泰和,http://item.jd.com/11226975572.html,"	","	",1000,自主下架
10206363408,东兴馆 东南亚年货大礼包 果干零食大礼包 七窍玲珑套餐 进口零食大礼包,11227001545, ,399,食品饮料 > 进口食品 > 休闲零食,泰和,http://item.jd.com/11227001545.html,"	","	",5000,自主下架
10206361869,东兴馆 东南亚年货大礼包 果干零食大礼包  八仙过海套餐 进口零食大礼包,11227030610, ,799,食品饮料 > 进口食品 > 休闲零食,泰和,http://item.jd.com/11227030610.html,"	","	",500,自主下架
10198133647,东兴馆 越南进口 泰和梅兰榴莲椰子糖250g 榴莲味 椰子味 进口特产零食糖果,11252626482,榴莲味,13,食品饮料 > 进口食品 > 糖果/巧克力,泰和,http://item.jd.com/11252626482.html,"	","	",90,上架
10211716258,东淘环保健康餐具筷子 5双喜庆礼盒装无漆大红酸枝原木红木实木筷子,11265763579,5双大红酸枝筷子,39,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11265763579.html,"	","	",2000,上架
10211732759,越风情 越南进口排糖 408g 夹心排糖 零食糖果椰蓉 奶油 花生 酥球,11280855504,180克排糖,9,食品饮料 > 休闲食品 > 糖果/巧克力,越风情,http://item.jd.com/11280855504.html,"	","	",5000,上架
10211732759,越风情 越南进口排糖 408g 夹心排糖 零食糖果椰蓉 奶油 花生 酥球,11280855505,408克排糖,21,食品饮料 > 休闲食品 > 糖果/巧克力,越风情,http://item.jd.com/11280855505.html,"	","	",5000,上架
10211732759,越风情 越南进口排糖 408g 夹心排糖 零食糖果椰蓉 奶油 花生 酥球,11281581365,2包408克装,39,食品饮料 > 休闲食品 > 糖果/巧克力,越风情,http://item.jd.com/11281581365.html,"	","	",999,上架
10214530891,越南进口 槟椥 椰子糖（椰汁香叶可可糖 200g) 袋装 糖果零食,11285259498,可可味,15,食品饮料 > 休闲食品 > 糖果/巧克力,泰和,http://item.jd.com/11285259498.html,"	","	",2000,从未上架
10214530891,越南进口 槟椥 椰子糖（椰汁香叶可可糖 200g) 袋装 糖果零食,11285259499,香叶味,15,食品饮料 > 休闲食品 > 糖果/巧克力,泰和,http://item.jd.com/11285259499.html,"	","	",2000,从未上架
10214530891,越南进口 槟椥 椰子糖（椰汁香叶可可糖 200g) 袋装 糖果零食,11285259500,榴莲味,15,食品饮料 > 休闲食品 > 糖果/巧克力,泰和,http://item.jd.com/11285259500.html,"	","	",2000,从未上架
10161470465,东起 天然芽庄沉香线香 熏香线香 盘香 红木礼盒 香薰礼盒卧室香薰,11286396000,10克亚克力管装,138,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/11286396000.html,"	","	",99,上架
10161470465,东起 天然芽庄沉香线香 熏香线香 盘香 红木礼盒 香薰礼盒卧室香薰,11286423622,20克亚克力管装,248,礼品箱包 > 礼品 > 熏香,东起,http://item.jd.com/11286423622.html,"	","	",100,上架
10181621345,东起 红木牙签盒可爱家居客厅牙签筒中式便携餐厅办公室牙签瓶,11290175977,越南镂空牙签筒,10,礼品箱包 > 礼品 > 工艺礼品,东起,http://item.jd.com/11290175977.html,"	","	",80,上架
